region,latitude,longitude,temperature,wind_speed,humidity,rainfall_7day,vegetation_index,outbreak
Sindh,26.9827,66.9172,42.15,25.89,24.5,2.5,0.421,1
Punjab,32.2484,70.1029,46.34,34.14,15.86,4.55,0.228,1
KPK,31.0353,69.1153,36.55,19.0,9.73,24.34,0.263,0
KPK,31.9984,71.5712,38.03,6.63,30.48,4.26,0.146,0
Punjab,31.3797,71.9271,25.35,13.08,16.92,17.08,0.527,0
Sindh,27.5466,67.2939,39.58,15.91,27.24,13.67,0.229,0
KPK,33.2488,70.9758,45.39,30.45,20.08,14.26,0.465,0
Balochistan,28.3321,63.1708,43.23,17.49,18.39,13.57,0.199,0
Balochistan,26.0938,64.3872,33.69,15.27,8.52,4.97,0.598,0
Sindh,23.3702,67.7923,27.55,35.21,31.06,8.27,0.144,0
Punjab,31.9955,72.9565,31.04,24.64,22.17,24.29,0.694,0
Sindh,26.8548,68.469,36.5,19.96,8.94,2.7,0.122,1
Punjab,31.3797,73.4776,28.07,26.15,27.97,5.08,0.76,0
Sindh,23.8061,70.6485,42.78,27.17,40.24,20.09,0.231,0
Sindh,24.6217,66.6104,32.84,36.74,18.07,16.19,0.1,0
Sindh,23.0348,68.5537,34.18,12.77,12.44,8.44,0.76,0
Punjab,31.3486,72.0192,26.43,13.89,17.13,17.41,0.599,0
Punjab,28.2213,73.0478,36.06,6.8,18.31,22.71,0.268,0
Punjab,30.6867,72.7645,38.04,7.83,21.68,6.05,0.662,0
KPK,34.1676,71.6789,26.99,34.24,19.87,4.66,0.129,0
Sindh,24.1012,69.5557,42.81,17.2,11.56,23.51,0.378,0
Punjab,28.8251,71.7053,27.5,37.36,40.46,6.45,0.562,0
Balochistan,29.0998,63.0866,46.92,38.79,28.66,22.07,0.232,0
Sindh,26.6298,70.4856,44.52,32.3,31.76,2.1,0.213,0
Punjab,31.4841,71.8614,45.68,39.08,18.51,7.63,0.44,1
Balochistan,27.3456,66.6974,30.22,16.39,35.62,16.24,0.694,0
Balochistan,29.2552,65.0705,39.0,13.77,29.83,24.47,0.441,0
Sindh,26.9741,68.5132,37.69,22.24,15.22,18.06,0.297,1
Balochistan,26.2616,68.9564,35.34,14.78,40.69,18.69,0.767,0
KPK,35.8333,73.8181,43.77,15.31,22.25,21.28,0.322,0
Balochistan,28.3681,67.7537,45.46,7.46,15.73,16.78,0.351,0
KPK,35.3869,72.7038,40.33,29.59,21.3,7.34,0.667,1
Balochistan,29.6691,61.6528,25.11,26.98,15.19,1.77,0.378,0
Sindh,24.69,67.8779,27.07,25.24,9.33,11.64,0.48,0
KPK,35.302,70.2513,25.85,15.61,27.87,8.17,0.68,0
Punjab,31.7373,70.4267,26.14,23.6,28.0,15.94,0.608,0
Punjab,32.2876,70.2053,33.77,20.17,35.53,6.27,0.229,0
Sindh,26.4799,68.0448,28.81,10.48,17.26,13.73,0.6,0
Balochistan,29.8296,65.1336,39.46,20.25,35.01,1.19,0.496,0
KPK,31.072,69.5804,26.01,6.43,39.65,17.59,0.432,0
Punjab,32.8415,71.7315,35.22,27.74,9.78,23.73,0.721,0
KPK,34.1293,71.5157,43.84,28.05,14.03,1.76,0.55,0
Punjab,31.8184,74.0047,39.9,25.07,12.75,20.28,0.674,0
Balochistan,31.7671,68.2428,29.31,7.43,11.73,0.46,0.166,0
Balochistan,29.9343,64.0832,40.0,16.92,17.65,12.4,0.585,0
Sindh,27.3874,69.6754,42.68,14.87,14.57,18.77,0.665,0
Punjab,28.7661,71.2501,37.77,35.35,28.79,5.96,0.576,0
Sindh,23.5156,70.5128,36.12,33.93,19.84,22.39,0.372,1
Balochistan,31.0829,63.8392,46.05,28.69,25.85,12.33,0.158,0
Punjab,29.972,73.3626,41.55,32.71,37.22,2.28,0.446,0
Sindh,23.2794,69.6852,37.01,29.7,43.84,17.2,0.686,0
KPK,31.4205,72.5048,26.6,33.77,34.13,2.03,0.159,0
Punjab,33.1788,74.4018,30.21,36.77,29.9,8.76,0.596,0
Punjab,31.3504,72.1211,44.94,8.89,26.23,0.28,0.428,0
Punjab,32.6032,74.114,41.37,28.84,16.79,10.01,0.434,0
Balochistan,27.3416,68.7058,25.27,38.95,9.6,22.28,0.469,0
Balochistan,27.5179,66.5633,26.66,10.82,16.02,7.36,0.797,0
Sindh,27.5058,66.2272,31.18,38.26,40.94,11.39,0.534,0
Punjab,31.8811,71.9413,30.05,14.31,21.33,6.5,0.417,1
Balochistan,27.8572,67.5104,40.06,10.69,41.7,20.56,0.765,0
Sindh,27.5959,66.4137,44.29,24.31,14.1,10.28,0.644,0
Sindh,23.7521,68.9707,33.38,38.95,39.16,20.96,0.428,0
Balochistan,26.082,61.6029,40.22,23.7,35.75,22.83,0.51,0
KPK,35.2482,70.2367,34.91,9.52,43.3,15.15,0.26,0
Punjab,28.2814,71.3434,25.49,22.44,25.62,20.78,0.315,0
Punjab,31.3656,74.3833,33.88,9.69,9.06,18.88,0.534,0
Sindh,27.5158,69.0863,46.57,26.28,31.56,13.87,0.164,0
Balochistan,29.0839,67.2692,33.72,26.77,39.91,23.74,0.203,0
KPK,34.8446,69.3312,26.01,26.73,20.85,5.23,0.506,0
Sindh,23.6444,66.6402,28.34,9.86,31.71,4.55,0.342,0
Sindh,25.5762,70.8656,38.24,12.83,38.41,8.63,0.343,1
KPK,31.6032,71.3039,29.54,17.75,26.63,17.26,0.128,0
Balochistan,30.1267,65.0933,28.45,18.21,8.1,21.71,0.159,0
Punjab,29.2561,71.8524,35.66,26.64,21.65,11.56,0.623,1
Punjab,28.7987,73.4358,43.58,31.24,9.13,21.68,0.348,0
Punjab,29.6155,71.8864,25.44,16.27,15.82,8.19,0.184,0
Punjab,30.8438,71.7755,39.27,21.79,29.62,18.42,0.49,0
Punjab,28.7655,71.4189,32.99,27.61,29.12,8.9,0.791,0
Balochistan,26.0452,62.8027,33.04,22.07,39.48,2.2,0.664,0
Balochistan,26.4814,65.1961,34.03,39.38,12.15,9.95,0.779,0
KPK,35.8753,71.4537,40.9,33.73,34.58,13.38,0.434,0
Balochistan,27.1223,63.5894,34.36,22.77,16.97,2.87,0.527,0
Balochistan,29.0366,68.4561,32.05,25.79,21.66,11.36,0.484,0
KPK,32.6118,73.0494,30.6,28.85,36.13,14.89,0.43,0
